InspectionUID,InspectionDate,InspectionScore,InspectionStatus,FacilityName,FacilityFullStreetAddress,FacilityZip,EstablishmentType,Cuisine,FacilityRiskScore,FacilityRiskProfile
5702293,1/20/15 0:00,1,PASS,AFGHAN VILLAGE,6413 HILLCROFT,77081,Restaurant - Full Service,,7,HIGH
5702378,1/20/15 0:00,1,PASS,AFGHAN VILLAGE,6413 HILLCROFT,77081,Restaurant - Full Service,,7,HIGH
5701325,1/12/15 0:00,1,PASS,PHO HUNG,10800 BELLAIRE STE B,77072,Restaurant - Full Service,,0,HIGH
5701314,1/12/15 0:00,2,PASS,PHO HUNG,10800 BELLAIRE STE B,77072,Restaurant - Full Service,,0,HIGH
5700635,1/7/15 0:00,3,FAIL,CHINA BORDER RESTAURANT,10718 NORTH FRWY,77037-1130,Restaurant - Full Service,,8,HIGH
5702462,1/21/15 0:00,1,PASS,CHINA BORDER RESTAURANT,10718 NORTH FRWY,77037-1130,Restaurant - Full Service,,8,HIGH
5700855,1/7/15 0:00,3,PASS,MAX'S WINE DIVE AND FLOW,214 FAIRVIEW ST STE 2,77006,Restaurant - Full Service,,0,LOW
5700853,1/7/15 0:00,1,PASS,MAX'S WINE DIVE AND FLOW,214 FAIRVIEW ST STE 2,77006,Restaurant - Full Service,,0,LOW
5702637,1/21/15 0:00,4,FAIL,CHINA BORDER RESTAURANT,10718 NORTH FRWY,77037-1130,Restaurant - Full Service,,8,HIGH
5699857,1/2/15 0:00,1,PASS,BECK'S PRIME,2902 KIRBY,77098,Restaurant - Full Service,"BURGERS, ETC.",7,HIGH
5699859,1/2/15 0:00,1,PASS,BECK'S PRIME,2902 KIRBY,77098,Restaurant - Full Service,"BURGERS, ETC.",7,HIGH
5700471,1/6/15 0:00,1,PASS,LO MEJOR DE JALISCO MEXICAN FOOD,11208 HEMPSTEAD RD,77092,Restaurant - Full Service,MEXICAN / HISPANIC,6,HIGH
5703137,1/27/15 0:00,1,,HESS,1501 MCKINNEY STE LV3,77002,Restaurant - Full Service,LOCAL / CONTINENTAL,8,HIGH
5700475,1/6/15 0:00,1,PASS,LO MEJOR DE JALISCO MEXICAN FOOD,11208 HEMPSTEAD RD,77092,Restaurant - Full Service,MEXICAN / HISPANIC,6,HIGH
5703140,1/27/15 0:00,1,,HESS,1501 MCKINNEY STE LV3,77002,Restaurant - Full Service,LOCAL / CONTINENTAL,8,HIGH
5702214,1/20/15 0:00,2,PASS,LUPE TORTILLAS,318 STAFFORD,77079,Restaurant - Full Service,MEXICAN / HISPANIC,7,HIGH
5702217,1/20/15 0:00,1,PASS,LUPE TORTILLAS,318 STAFFORD,77079,Restaurant - Full Service,MEXICAN / HISPANIC,7,HIGH
5701220,1/9/15 0:00,3,FAIL,J & J LOUNGE,3303 LEE,77026,Restaurant - Full Service,,6,HIGH
5701216,1/9/15 0:00,1,PASS,J & J LOUNGE,3303 LEE,77026,Restaurant - Full Service,,6,HIGH
5702808,1/23/15 0:00,1,PASS,SPANKY CRAWFISH,10827 BELLAIRE BLVD STE 230,77072,Restaurant - Full Service,SEAFOOD,6,HIGH
5701934,1/15/15 0:00,1,PASS,TABLE 7 BISTRO,720 FANNIN ST STE A,77002,Restaurant - Full Service,LOCAL / CONTINENTAL,5,HIGH
5721748,1/29/15 0:00,1,PASS,BROWN SUGARS BBQ,111 GREENS RD,77060,Restaurant - Full Service,BARBECUE,0,LOW
5700997,1/8/15 0:00,2,PASS,MISOYA RESTAURANT,1302 BLALOCK RD STE FC2,77055,Restaurant - Full Service,KOREAN,6,HIGH
5702177,1/15/15 0:00,1,PASS,PHO AND GRILL,10971 NORTHWEST FWY,99092,Restaurant - Full Service,VIETNAMESE,6,HIGH
5702187,1/20/15 0:00,2,PASS,PAPPAS BAR-B-QUE,7007 SOUTHWEST FWY,77074,Restaurant - Full Service,BARBECUE,10,HIGH
5703416,1/26/15 0:00,1,PASS,LIBERTY KITCHEN,1050 STUDEWOOD,77008,Restaurant - Full Service,"BURGERS, ETC.",7,HIGH
5721681,1/29/15 0:00,1,PASS,BARBECUE INN,116 W CROSSTIMBERS,77018,Restaurant - Full Service,BARBECUE,8,HIGH
5700882,1/8/15 0:00,1,PASS,MISOYA RESTAURANT,1302 BLALOCK RD STE FC2,77055,Restaurant - Full Service,KOREAN,6,HIGH
5702186,1/20/15 0:00,1,PASS,PAPPAS BAR-B-QUE,7007 SOUTHWEST FWY,77074,Restaurant - Full Service,BARBECUE,10,HIGH
5703414,1/26/15 0:00,1,PASS,LIBERTY KITCHEN,1050 STUDEWOOD,77008,Restaurant - Full Service,"BURGERS, ETC.",7,HIGH
5700406,1/7/15 0:00,1,PASS,TWIN PEAKS 290 BEVERAGE,12830 NORTHWEST FWY,77040,Restaurant - Full Service,LOCAL / CONTINENTAL,5,HIGH
5701316,1/12/15 0:00,1,PASS,WINGS PIZZA N THINGS,11510 SPACE CENTER BLVD STE G,77059,Restaurant - Full Service,CHINESE,5,MEDIUM
5702520,1/21/15 0:00,1,PASS,KINGSVIEW CAFE,9511 SOUTHWEST  FWY STE C,77036,Restaurant - Full Service,BAR & GRILL,7,HIGH
5702554,1/21/15 0:00,1,PASS,SARAH PLACE,9968 BELLAIRE STE 160,77036,Restaurant - Full Service,,7,HIGH
5702183,1/15/15 0:00,2,PASS,PHO AND GRILL,10971 NORTHWEST FWY,99092,Restaurant - Full Service,VIETNAMESE,6,HIGH
5702517,1/21/15 0:00,2,PASS,KINGSVIEW CAFE,9511 SOUTHWEST  FWY STE C,77036,Restaurant - Full Service,BAR & GRILL,7,HIGH
5702553,1/21/15 0:00,1,PASS,SARAH PLACE,9968 BELLAIRE STE 160,77036,Restaurant - Full Service,,7,HIGH
5721686,1/29/15 0:00,1,PASS,BARBECUE INN,116 W CROSSTIMBERS,77018,Restaurant - Full Service,BARBECUE,8,HIGH
5700409,1/7/15 0:00,2,PASS,TWIN PEAKS 290 BEVERAGE,12830 NORTHWEST FWY,77040,Restaurant - Full Service,LOCAL / CONTINENTAL,5,HIGH
5701324,1/12/15 0:00,2,PASS,WINGS PIZZA N THINGS,11510 SPACE CENTER BLVD STE G,77059,Restaurant - Full Service,CHINESE,5,MEDIUM
5702494,1/21/15 0:00,2,PASS,HOTEL SORELLA CONFERENCE & MEETING CENTER,816 TOWN & COUNTRY  BLVD STE 139,77024,Restaurant - Full Service,OTHER,6,HIGH
5700638,1/7/15 0:00,1,PASS,LA MADELEINE FRENCH BAKERY,6205 KIRBY DR,77005,Restaurant - Full Service,FRENCH,8,HIGH
5701377,1/12/15 0:00,1,PASS,CULVER'S OF KINGWOOD,331 NORTHPARK DR,77339,Restaurant - Full Service,LOCAL / CONTINENTAL,0,HIGH
5701645,1/14/15 0:00,1,PASS,CORELLI'S ITALIAN CAFE,5640 WESTHEIMER,77056,Restaurant - Full Service,ITALIAN,7,HIGH
5701776,1/15/15 0:00,1,PASS,SARA'S TAQUERIA,1302 LORRAINE ST,77009-8736,Restaurant - Full Service,MEXICAN / HISPANIC,8,HIGH
5702046,1/15/15 0:00,1,PASS,PAPPAS BAR-B-Q,4430 NORTH  FWY,77022,Restaurant - Full Service,BARBECUE,8,HIGH
5724596,1/29/15 0:00,1,PASS,GREAT KHAN MONGOLIAN GRILL,2150 S HIGHWAY 6 STE 200,77077,Restaurant - Full Service,,0,HIGH
5699991,1/5/15 0:00,1,PASS,CUE'S BURGER AND MORE,10423 S POST OAK  RD,77035,Restaurant - Full Service,LOCAL / CONTINENTAL,7,HIGH
5700235,1/6/15 0:00,1,PASS,LA TAPATIA TAQUERIA,3965 S GESSNER,77063,Restaurant - Full Service,MEXICAN / HISPANIC,7,HIGH
5701890,1/15/15 0:00,3,FAIL,TAQUERIA Y RESTAURANT LA JALISCIENSE 2,7477 N SHEPHERD DR,77091,Restaurant - Full Service,MEXICAN / HISPANIC,0,HIGH
5703244,1/27/15 0:00,2,PASS,OSTIONERIA HUETAMICH,10369 CLUB CREEK,77036,Restaurant - Full Service,MEXICAN / HISPANIC,7,HIGH
5703260,1/27/15 0:00,1,PASS,HUNAN GARDEN,4331 KINGWOOD DR,77339,Restaurant - Full Service,,0,HIGH
5701942,1/15/15 0:00,4,FAIL,TABLE 7 BISTRO,720 FANNIN ST STE A,77002,Restaurant - Full Service,LOCAL / CONTINENTAL,5,HIGH
5721751,1/29/15 0:00,1,PASS,BROWN SUGARS BBQ,111 GREENS RD,77060,Restaurant - Full Service,BARBECUE,0,LOW
5702848,1/23/15 0:00,2,PASS,ZOE'S KITCHEN,12850 MEMORIAL DR STE 1120,77024,Restaurant - Full Service,LOCAL / CONTINENTAL,7,HIGH
