InspectionUID,FacilityHashID,InspectionDate,InpsectionHashID,FacilityName,FacilityFullStreetAddress,FacilityZip,EstablishmentType,Cuisine,FacilityRiskScore,FacilityRiskProfile
5722430,021EBA2A-DDFB-DA88-D6B6F873AA515E05,2/5/19 0:00,5DC8CD49-5056-A20B-FA57CD970EE954AB,"EQUILIBRIUM HOLDINGS, LLC",1030 HEIGHTS BLVD,77008,Restaurant - Single Service,"BEVERAGES, ETC.",3,MEDIUM
5751888,0217DDB9-F6C1-528C-082A53921AA2A26B,2/28/19 0:00,02244A48-5056-A20B-FAF832BB36CBE65A,TAQUERIA JALISCO MEX - Texas,2322  1/2 WIRT RD,77055,"Mobile - Conventional, Unrestricted, Motorized",,6,HIGH
5753076,0217DDB9-F6C1-528C-082A53921AA2A26B,3/7/19 0:00,67211DB0-5056-A20B-FAA5F7C19A0FFE64,TAQUERIA JALISCO MEX - Texas,2322  1/2 WIRT RD,77055,"Mobile - Conventional, Unrestricted, Motorized",,6,HIGH
5702293,029420E7-90E9-8AB0-6B6BFCE8190FCA90,1/21/19 0:00,5C65324A-5056-A20B-FA1787004BEA692F,AFGHAN VILLAGE,6413 HILLCROFT,77081,Restaurant - Full Service,,7,HIGH
5756578,02E1CAAD-944B-B853-CBD4493BF3BCAF00,3/22/19 0:00,694682F2-5056-A20B-FA19C62044BF2032,THE GOLDEN GRILL- Diana's,1417 WESTHEIMER,77006,"Mobile - Conventional, Unrestricted, Motorized",,6,HIGH
5753077,0217DDB9-F6C1-528C-082A53921AA2A26B,3/7/19 0:00,67238D12-5056-A20B-FAD430ADEFE1D6B2,TAQUERIA JALISCO MEX - Texas,2322  1/2 WIRT RD,77055,"Mobile - Conventional, Unrestricted, Motorized",,6,HIGH
5699960,02415ADF-D2ED-A889-CDC82F85BE208B30,1/5/19 0:00,2971AA8E-5056-A20B-FA396FF952865B19,WAHOO FISH & WINGS CHINESE FOOD,12306 FONDREN,77035,Restaurant - Single Service,,0,MEDIUM
5702378,029420E7-90E9-8AB0-6B6BFCE8190FCA90,1/21/19 0:00,8404C1F8-5056-A20B-FA65800CFC47BDAC,AFGHAN VILLAGE,6413 HILLCROFT,77081,Restaurant - Full Service,,7,HIGH
5729245,02B0C57B-E0C7-E89B-8328A1DEF8D553FF,2/11/19 0:00,8D16D9C9-5056-A20B-FA1BA79021C97362,LENNY'S SUB SHOP,1001 FANNIN ST STE 220,77002-6781,Restaurant - Single Service,DELI,6,HIGH
5750405,021EBA2A-DDFB-DA88-D6B6F873AA515E05,2/19/19 0:00,2CA6E9CF-5056-A20B-FA9F43DCCDEB916D,"EQUILIBRIUM HOLDINGS, LLC",1030 HEIGHTS BLVD,77008,Restaurant - Single Service,"BEVERAGES, ETC.",3,MEDIUM
5751611,0217DDB9-F6C1-528C-082A53921AA2A26B,2/27/19 0:00,C767BE6D-5056-A20B-FAB0685F199A434A,TAQUERIA JALISCO MEX - Texas,2322  1/2 WIRT RD,77055,"Mobile - Conventional, Unrestricted, Motorized",,6,HIGH
5753899,02183085-AE51-0971-494B68F88D57E357,3/12/19 0:00,6D0063F9-5056-A20B-FA6120F79D5B7539,WING STOP #250,5621 BEECHNUT STE A,77096,Restaurant - Single Service,CHICKEN,4,MEDIUM
