InspectionUID,InspectionDate,InspectionScore,InspectionStatus,FacilityName,FacilityFullStreetAddress,FacilityZip,EstablishmentType,Cuisine,FacilityRiskScore,FacilityRiskProfile
5722430,2/4/15 0:00,1,PASS,"EQUILIBRIUM HOLDINGS, LLC",1030 HEIGHTS BLVD,77008,Restaurant - Single Service,"BEVERAGES, ETC.",3,MEDIUM
5699960,1/4/15 0:00,1,PASS,WAHOO FISH & WINGS CHINESE FOOD,12306 FONDREN,77035,Restaurant - Single Service,,0,MEDIUM
5729245,2/10/15 0:00,1,PASS,LENNY'S SUB SHOP,1001 FANNIN ST STE 220,77002-6781,Restaurant - Single Service,DELI,6,HIGH
5750405,2/18/15 0:00,1,PASS,"EQUILIBRIUM HOLDINGS, LLC",1030 HEIGHTS BLVD,77008,Restaurant - Single Service,"BEVERAGES, ETC.",3,MEDIUM
5753899,3/11/15 0:00,1,PASS,WING STOP #250,5621 BEECHNUT STE A,77096,Restaurant - Single Service,CHICKEN,4,MEDIUM
5703542,1/28/15 0:00,1,PASS,LUNITAS SNOW CONE,7219 AVE  J,77011,Restaurant - Single Service,DESSERTS,3,MEDIUM
5753161,3/6/15 0:00,1,PASS,SUBWAY SANDWICH AND SALADS #48257,2049 MANGUM,77092-8529,Restaurant - Single Service,DELI,4,MEDIUM
5751026,2/23/15 0:00,1,PASS,"EQUILIBRIUM HOLDINGS, LLC",1030 HEIGHTS BLVD,77008,Restaurant - Single Service,"BEVERAGES, ETC.",3,MEDIUM
5753891,3/11/15 0:00,1,PASS,WING STOP #250,5621 BEECHNUT STE A,77096,Restaurant - Single Service,CHICKEN,4,MEDIUM
5703541,1/28/15 0:00,1,PASS,LUNITAS SNOW CONE,7219 AVE  J,77011,Restaurant - Single Service,DESSERTS,3,MEDIUM
5753158,3/6/15 0:00,1,PASS,SUBWAY SANDWICH AND SALADS #48257,2049 MANGUM,77092-8529,Restaurant - Single Service,DELI,4,MEDIUM
5729246,2/10/15 0:00,1,PASS,LENNY'S SUB SHOP,1001 FANNIN ST STE 220,77002-6781,Restaurant - Single Service,DELI,6,HIGH
5729233,2/10/15 0:00,1,PASS,JACK IN THE BOX #4767,3415 NAVIGATION  BLVD,77003,Restaurant - Single Service,"BURGERS, ETC.",6,HIGH
5729232,2/10/15 0:00,1,PASS,JACK IN THE BOX #4767,3415 NAVIGATION  BLVD,77003,Restaurant - Single Service,"BURGERS, ETC.",6,HIGH
5749884,2/12/15 0:00,1,PASS,STEPH'S TEXAS BURGERS,4440 GALVESTON RD,77017,Restaurant - Single Service,"BURGERS, ETC.",3,MEDIUM
5701112,1/9/15 0:00,1,PASS,TORTILLERIA  LA SALMANTINA,1333 N GESSNER STE A,77055,Restaurant - Single Service,MEXICAN / HISPANIC,4,MEDIUM
5701196,1/9/15 0:00,2,PASS,TORTILLERIA  LA SALMANTINA,1333 N GESSNER STE A,77055,Restaurant - Single Service,MEXICAN / HISPANIC,4,MEDIUM
5750111,2/17/15 0:00,1,PASS,AJ SANDWICH,2646 SOUTH LOOP WEST STE 170,77054,Restaurant - Single Service,DELI,5,MEDIUM
5750112,2/17/15 0:00,2,PASS,AJ SANDWICH,2646 SOUTH LOOP WEST STE 170,77054,Restaurant - Single Service,DELI,5,MEDIUM
5729065,2/9/15 0:00,1,PASS,JACK IN THE BOX #4766,7533  HARRISBURG BLVD,77012,Restaurant - Single Service,"BURGERS, ETC.",4,MEDIUM
5729070,2/9/15 0:00,1,PASS,JACK IN THE BOX #4766,7533  HARRISBURG BLVD,77012,Restaurant - Single Service,"BURGERS, ETC.",4,MEDIUM
5752317,3/3/15 0:00,1,PASS,TEAVANA  #016,5085 WESTHEIMER RD STE B-3561,77056,Restaurant - Single Service,"BEVERAGES, ETC.",0,LOW
5702890,1/23/15 0:00,1,PASS,ALMEDA SKATE CENTER,10750 ALMEDA GENOA,77034,Restaurant - Single Service,,0,MEDIUM
5700966,1/8/15 0:00,1,PASS,JUST-A-DOLLAR & BUDGET FOOD,901 MAIN,77002,Restaurant - Single Service,,6,MEDIUM
5702074,1/16/15 0:00,2,PASS,KNIGHTS OF COLUMBUS #4577,6320 MADDEN,77048,Restaurant - Single Service,"BURGERS, ETC.",0,MEDIUM
5699873,1/2/15 0:00,1,PASS,JAVA COFFEE & TEA CO.,2727 FONDREN STE 7A,77063,Restaurant - Single Service,OTHER,3,MEDIUM
5701194,1/9/15 0:00,1,PASS,WHATABURGER #141,8941 LONG POINT,77055,Restaurant - Single Service,"BURGERS, ETC.",6,MEDIUM
5699977,1/5/15 0:00,1,PASS,SUNRISE TAQUITOS MEXICAN GRILL MEMORIAL,5601 MEMORIAL DR,77007,Restaurant - Single Service,MEXICAN / HISPANIC,6,HIGH
5702764,1/22/15 0:00,2,PASS,SUPREME SANDWICH SHOP,2752 W TC JESTER,77018,Restaurant - Single Service,SANDWICHES,7,MEDIUM
5722277,2/3/15 0:00,1,PASS,WHATABURGER #278,11027 FUQUA,77089,Restaurant - Single Service,"BURGERS, ETC.",6,MEDIUM
5739810,3/3/15 0:00,1,PASS,WHATABURGER #131,12121 KATY  FWY,77079,Restaurant - Single Service,"BURGERS, ETC.",6,MEDIUM
5749840,2/13/15 0:00,1,PASS,WHATABURGER #271,3712 S SHEPHERD,77098,Restaurant - Single Service,"BURGERS, ETC.",5,MEDIUM
5750742,2/19/15 0:00,2,PASS,WHATABURGER #550,7001 NORTH LOOP EAST,77028,Restaurant - Single Service,"BURGERS, ETC.",6,HIGH
5702072,1/16/15 0:00,1,PASS,KNIGHTS OF COLUMBUS #4577,6320 MADDEN,77048,Restaurant - Single Service,"BURGERS, ETC.",0,MEDIUM
5722279,2/3/15 0:00,1,PASS,WHATABURGER #278,11027 FUQUA,77089,Restaurant - Single Service,"BURGERS, ETC.",6,MEDIUM
5739811,3/3/15 0:00,1,PASS,WHATABURGER #131,12121 KATY  FWY,77079,Restaurant - Single Service,"BURGERS, ETC.",6,MEDIUM
5751937,2/28/15 0:00,1,PASS,WHATABURGER #266,3639 WESTHEIMER RD,77027,Restaurant - Single Service,"BURGERS, ETC.",5,MEDIUM
5700108,1/5/15 0:00,1,PASS,WHATABURGER #264,6914 HARRISBURG,77011,Restaurant - Single Service,"BURGERS, ETC.",6,MEDIUM
5750463,2/17/15 0:00,1,PASS,WHATABURGER #196,1718 WEST LOOP NORTH,77008,Restaurant - Single Service,,5,MEDIUM
5699976,1/5/15 0:00,1,PASS,SUNRISE TAQUITOS MEXICAN GRILL MEMORIAL,5601 MEMORIAL DR,77007,Restaurant - Single Service,MEXICAN / HISPANIC,6,HIGH
5702682,1/22/15 0:00,1,PASS,SUPREME SANDWICH SHOP,2752 W TC JESTER,77018,Restaurant - Single Service,SANDWICHES,7,MEDIUM
