InspectionUID,InspectionDate,InspectionScore,InspectionStatus,FacilityName,FacilityFullStreetAddress,FacilityZip,EstablishmentType,Cuisine,FacilityRiskScore,FacilityRiskProfile
5699960,1/4/15 0:00,1,PASS,WAHOO FISH & WINGS CHINESE FOOD,12306 FONDREN,77035,Restaurant - Single Service,,0,MEDIUM
5703542,1/28/15 0:00,1,PASS,LUNITAS SNOW CONE,7219 AVE  J,77011,Restaurant - Single Service,DESSERTS,3,MEDIUM
5703541,1/28/15 0:00,1,PASS,LUNITAS SNOW CONE,7219 AVE  J,77011,Restaurant - Single Service,DESSERTS,3,MEDIUM
5701112,1/9/15 0:00,1,PASS,TORTILLERIA  LA SALMANTINA,1333 N GESSNER STE A,77055,Restaurant - Single Service,MEXICAN / HISPANIC,4,MEDIUM
5701196,1/9/15 0:00,2,PASS,TORTILLERIA  LA SALMANTINA,1333 N GESSNER STE A,77055,Restaurant - Single Service,MEXICAN / HISPANIC,4,MEDIUM
5702890,1/23/15 0:00,1,PASS,ALMEDA SKATE CENTER,10750 ALMEDA GENOA,77034,Restaurant - Single Service,,0,MEDIUM
5700966,1/8/15 0:00,1,PASS,JUST-A-DOLLAR & BUDGET FOOD,901 MAIN,77002,Restaurant - Single Service,,6,MEDIUM
5702074,1/16/15 0:00,2,PASS,KNIGHTS OF COLUMBUS #4577,6320 MADDEN,77048,Restaurant - Single Service,"BURGERS, ETC.",0,MEDIUM
5699873,1/2/15 0:00,1,PASS,JAVA COFFEE & TEA CO.,2727 FONDREN STE 7A,77063,Restaurant - Single Service,OTHER,3,MEDIUM
5701194,1/9/15 0:00,1,PASS,WHATABURGER #141,8941 LONG POINT,77055,Restaurant - Single Service,"BURGERS, ETC.",6,MEDIUM
5699977,1/5/15 0:00,1,PASS,SUNRISE TAQUITOS MEXICAN GRILL MEMORIAL,5601 MEMORIAL DR,77007,Restaurant - Single Service,MEXICAN / HISPANIC,6,HIGH
5702764,1/22/15 0:00,2,PASS,SUPREME SANDWICH SHOP,2752 W TC JESTER,77018,Restaurant - Single Service,SANDWICHES,7,MEDIUM
5702072,1/16/15 0:00,1,PASS,KNIGHTS OF COLUMBUS #4577,6320 MADDEN,77048,Restaurant - Single Service,"BURGERS, ETC.",0,MEDIUM
5700108,1/5/15 0:00,1,PASS,WHATABURGER #264,6914 HARRISBURG,77011,Restaurant - Single Service,"BURGERS, ETC.",6,MEDIUM
5699976,1/5/15 0:00,1,PASS,SUNRISE TAQUITOS MEXICAN GRILL MEMORIAL,5601 MEMORIAL DR,77007,Restaurant - Single Service,MEXICAN / HISPANIC,6,HIGH
5702682,1/22/15 0:00,1,PASS,SUPREME SANDWICH SHOP,2752 W TC JESTER,77018,Restaurant - Single Service,SANDWICHES,7,MEDIUM
5700109,1/5/15 0:00,2,PASS,WHATABURGER #264,6914 HARRISBURG,77011,Restaurant - Single Service,"BURGERS, ETC.",6,MEDIUM
5700989,1/9/15 0:00,1,PASS,WHATABURGER #141,8941 LONG POINT,77055,Restaurant - Single Service,"BURGERS, ETC.",6,MEDIUM
5702891,1/23/15 0:00,1,PASS,ALMEDA SKATE CENTER,10750 ALMEDA GENOA,77034,Restaurant - Single Service,,0,MEDIUM
5701775,1/15/15 0:00,1,PASS,SUB ROC,3355 W ALABAMA STE 120,77027,Restaurant - Single Service,DELI,4,MEDIUM
5721810,1/30/15 0:00,1,PASS,MURPHY'S DELI AT ST LUKE'S,6624 FANNIN,77030,Restaurant - Single Service,DELI,7,HIGH
5702466,1/21/15 0:00,1,PASS,POPEYE'S #31,12436 BISSONNET,77099,Restaurant - Single Service,CHICKEN,8,MEDIUM
5701703,1/14/15 0:00,1,PASS,FRENCHY'S,5836 MARTIN LUTHER KING BLVD,77033,Restaurant - Single Service,CHICKEN,7,HIGH
5700333,1/6/15 0:00,1,PASS,BULLRITOS,1695 S VOSS,77057,Restaurant - Single Service,SANDWICHES,5,HIGH
5702468,1/21/15 0:00,1,PASS,POPEYE'S #31,12436 BISSONNET,77099,Restaurant - Single Service,CHICKEN,8,MEDIUM
5700151,1/5/15 0:00,1,PASS,SUBWAY # 29836,5015 WESTHEIMER RD STE 1295,77056,Restaurant - Single Service,DELI,8,HIGH
5701131,1/9/15 0:00,1,PASS,JIMMY JOHN'S,12303 WESTHEIMER RD STE K,77077,Restaurant - Single Service,SANDWICHES,0,MEDIUM
5701330,1/12/15 0:00,3,PASS,CHEVRON/OSCAR SERVICE STATION,4305 TELEPHONE RD STE B,77087,Restaurant - Single Service,MEXICAN / HISPANIC,7,MEDIUM
5701986,1/15/15 0:00,1,PASS,WHICH WICH STORE 102,9758 KATY FWY STE 200,77055,Restaurant - Single Service,SANDWICHES,5,MEDIUM
5701705,1/14/15 0:00,1,PASS,FRENCHY'S,5836 MARTIN LUTHER KING BLVD,77033,Restaurant - Single Service,CHICKEN,7,HIGH
5701284,1/12/15 0:00,1,PASS,MENCHIE'S FROZEN YOGURT #7,5310 WESLAYAN,77005,Restaurant - Single Service,DESSERTS,3,MEDIUM
5701515,1/13/15 0:00,2,PASS,SMOOTHIE KING,6020 WESTHEIMER,77057,Restaurant - Single Service,"BEVERAGES, ETC.",3,MEDIUM
5702933,1/25/15 0:00,1,PASS,TACO BELL #20007,3155 SOUTH LOOP WEST,77054,Restaurant - Single Service,MEXICAN / HISPANIC,4,MEDIUM
5701485,1/13/15 0:00,2,PASS,SPICY PICKLE,1333 OLD SPANISH TRL STE 100-A,77054,Restaurant - Single Service,DELI,4,MEDIUM
5701778,1/15/15 0:00,2,PASS,SUB ROC,3355 W ALABAMA STE 120,77027,Restaurant - Single Service,DELI,4,MEDIUM
5721811,1/30/15 0:00,2,PASS,MURPHY'S DELI AT ST LUKE'S,6624 FANNIN,77030,Restaurant - Single Service,DELI,7,HIGH
5701827,1/15/15 0:00,1,PASS,BARNES & NOBLE CAFE' @ SAN JACINTO BOOKSTORE,13735 BEAMER RD STE 4103,77089,Restaurant - Single Service,SANDWICHES,5,MEDIUM
5721639,1/29/15 0:00,1,PASS,DOMINO'S PIZZA #6644,4319 KINGWOOD  DR,77339,Restaurant - Single Service,PIZZA,5,HIGH
5721853,1/30/15 0:00,1,PASS,TIMMY CHAN'S,7625 W BELLFORT,77071,Restaurant - Single Service,,8,HIGH
5701481,1/13/15 0:00,1,PASS,SPICY PICKLE,1333 OLD SPANISH TRL STE 100-A,77054,Restaurant - Single Service,DELI,4,MEDIUM
5702968,1/26/15 0:00,1,PASS,TACOS AND TORTAS LAS LLARDAS,10950 BISSONNET STE A 290,77099,Restaurant - Single Service,MEXICAN / HISPANIC,0,MEDIUM
5703361,1/28/15 0:00,2,PASS,FRENCHY'S,5836 MARTIN LUTHER KING BLVD,77033,Restaurant - Single Service,CHICKEN,7,HIGH
5702967,1/26/15 0:00,1,PASS,TACOS AND TORTAS LAS LLARDAS,10950 BISSONNET STE A 290,77099,Restaurant - Single Service,MEXICAN / HISPANIC,0,MEDIUM
5703357,1/28/15 0:00,1,PASS,FRENCHY'S,5836 MARTIN LUTHER KING BLVD,77033,Restaurant - Single Service,CHICKEN,7,HIGH
5700608,1/7/15 0:00,2,PASS,TONY'S SEAFOOD & MORE,8615 TIDWELL STE G,77028,Restaurant - Single Service,CHINESE,2,LOW
5701283,1/12/15 0:00,1,PASS,MENCHIE'S FROZEN YOGURT #7,5310 WESLAYAN,77005,Restaurant - Single Service,DESSERTS,3,MEDIUM
5701567,1/13/15 0:00,1,PASS,YIIN'S ORIENTAL WOK,5842 MARTIN LUTHER KING,77021,Restaurant - Single Service,CHINESE,7,MEDIUM
5701512,1/13/15 0:00,1,PASS,SMOOTHIE KING,6020 WESTHEIMER,77057,Restaurant - Single Service,"BEVERAGES, ETC.",3,MEDIUM
5703201,1/27/15 0:00,1,PASS,SUBWAY # 38181,15015 WESTHEIMER RD STE C,77082,Restaurant - Single Service,SANDWICHES,5,HIGH
5721635,1/29/15 0:00,1,PASS,DOMINO'S PIZZA #6644,4319 KINGWOOD  DR,77339,Restaurant - Single Service,PIZZA,5,HIGH
5721851,1/30/15 0:00,2,PASS,TIMMY CHAN'S,7625 W BELLFORT,77071,Restaurant - Single Service,,8,HIGH
5702727,1/22/15 0:00,1,PASS,OUT TO LUNCH CAFE & DELI,1980 POST OAK STE B001,77056,Restaurant - Single Service,,6,MEDIUM
5721696,1/29/15 0:00,4,FAIL,POPEYE'S  #58,505 W LITTLE YORK,77091,Restaurant - Single Service,CHICKEN,4,MEDIUM
5700637,1/7/15 0:00,1,PASS,SOPHI CAFE,505 N SAM HOUSTON PKWY E,77060-4018,Restaurant - Single Service,LOCAL / CONTINENTAL,7,HIGH
